<<<<<<< HEAD
"Code","Site","Bank","Dist","Group","Replicate","Abund","Biomass","Trophic","Region","Width","Order","OrderClass","Geomorph","Banks","VegFld","VegUp","VegShift","shortSite","SiteBank","AbBiom","AbBiomTopCut","preForest","Forest","Wall","DistShift","AbBiomTopCutNoWeird","AbBiomTopCutNoWeirdHighDrop","Effect","logEffect","logDist"
"ARZO1-LB/0 PrBeet","ARZO1","LB",0,"PrBeet",1,9,18.2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",163.8,163.8,40,40,NA,0,163.8,163.8,0.504310344827586,-0.684563436868554,-2.99573227355399
"ARZO1-LB/0 PrSpHu","ARZO1","LB",0,"PrSpHu",2,3,8.5,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",25.5,25.5,40,40,NA,0,25.5,25.5,0.0785098522167488,-2.54453115612314,-2.99573227355399
"ARZO1-LB/1 PrBeet","ARZO1","LB",1,"PrBeet",1,8,6.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",52.8,52.8,40,40,NA,1,52.8,52.8,0.16256157635468,-1.81669841757531,0.048790164169432
"ARZO1-LB/1 PrBeet","ARZO1","LB",1,"PrBeet",3,14,23.2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",324.8,324.8,40,40,NA,1,324.8,324.8,1,0,0.048790164169432
"ARZO1-LB/1 PrSpHu","ARZO1","LB",1,"PrSpHu",2,4,14.8,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",59.2,59.2,40,40,NA,1,59.2,59.2,0.182266009852217,-1.70228806639756,0.048790164169432
"ARZO1-LB/1 PrSpHu","ARZO1","LB",1,"PrSpHu",3,6,7.3,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",43.8,43.8,40,40,NA,1,43.8,43.8,0.134852216748768,-2.00357579090512,0.048790164169432
"ARZO1-LB/16 PrBeet","ARZO1","LB",16,"PrBeet",1,1,29.5,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",29.5,29.5,40,40,NA,16,29.5,29.5,0.0908251231527094,-2.39881934494175,2.77570884957602
"ARZO1-LB/16 PrBeet","ARZO1","LB",16,"PrBeet",2,9,0.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",3.6,3.6,40,40,NA,16,3.6,3.6,0.0110837438423645,-4.50227576282546,2.77570884957602
"ARZO1-LB/16 PrBeet","ARZO1","LB",16,"PrBeet",3,27,1.1,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",29.7,29.7,40,40,NA,16,29.7,29.7,0.0914408866995074,-2.39206256247887,2.77570884957602
"ARZO1-LB/16 PrSpWe","ARZO1","LB",16,"PrSpWe",3,4,3.2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",12.8,12.8,40,40,NA,16,12.8,12.8,0.0394088669950739,-3.23376443736195,2.77570884957602
